CM,Commodity,ID,Mine_Name,Operator_Name,State,Status,Type
M ,"Crushed, Broken Limestone NEC ",4103258,Barstow Pit,Jones Bros Dirt & Paving Contractors Inc  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,3901432,PORTABLE SCREENER,Krueger Brothers Gravel & Dirt  ,SD ,Intermittent ,Surface
M ,Construction Sand and Gravel ,2103556,Krueger Pit,"Krueger Dirt Werx, Inc.  ",MN ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601250,L I P Dirt & Trucking,L I P Dirt & Trucking  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1600908,Lee'S Dirt Pit,Lee'S Dirt Pit Inc  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1600953,Little-G-Dirt Pit,Little-G-Dirt Pit  ,LA ,Abandoned ,Surface
M ,"Crushed, Broken Stone NEC ",4104185,Lone Star Crusher,Lone Star Dirt & Paving  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2901536,LOYD'S PIT,Loyd'S Dirt & Gravel  ,NM ,Abandoned ,Surface
M ,Construction Sand and Gravel ,3609624,Forbes Pit,M R Dirt  ,PA ,Temporarily Idled ,Surface
M ,"Sand, Common ",3800709,Middleton Site,M.C. Dirt LLC  ,SC ,Abandoned ,Surface
M ,Dimension Stone NEC ,3609931,Camptown Quarry,M.R. Dirt Inc.  ,PA ,Intermittent ,Surface
M ,Construction Sand and Gravel ,1601257,Maurice Dirt And Sand,Maurice Dirt & Sand  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,0801275,BELLVIEW,Mc Dirt Industries Inc  ,FL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601379,REDS PIT,Mike Duhon Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601380,WAINWRIGHT PIT,Mike Duhon Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601381,COX PIT,Mike Duhon Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601134,Cook Pit,Moss Dirt Company  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601165,Moss Dirt Pit,Moss Dirt Company  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,3901042,Hoffman Pit,Muckler Fill Dirt & Top Soil  ,SD ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601194,Nelson & Sons Dirt Haulers Incorporated,Nelson & Sons Dirt Haulers Inc  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4104054,NELSON'S DIRT PIT,Nelson'S Dirt Pit  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4801674,Eagle One,Nicholson Dirt Contracting  ,WY ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2402474,Rolling Glen Ranch Sand and Gravel,Nitty Gritty Dirt LLC  ,MT ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1600920,Calhoun And Mcguire Pit,Northest Louisiana Dirt Contractors  ,LA ,Abandoned ,Surface
M ,"Crushed, Broken Limestone NEC ",4102955,Ed Meek Pit,Orvil Carter Dirt Contractor Inc  ,TX ,Abandoned ,Surface
M ,"Crushed, Broken Limestone NEC ",4103107,Seitz Pit,Orvil Carter Dirt Contractor Inc  ,TX ,Abandoned ,Surface
C ,Coal (Bituminous) ,1512530,No 1 Surface,P B Dirt Movers Inc  ,KY ,Abandoned ,Surface
C ,Coal (Bituminous) ,1515619,No 5 Surface,P B Dirt Movers Inc  ,KY ,Abandoned ,Surface
C ,Coal (Bituminous) ,1518318,Biggs No 1,P B Dirt Movers Inc  ,KY ,Abandoned ,Surface
C ,Coal (Bituminous) ,4405366,No 1 Strip,P B Dirt Movers Inc  ,VA ,Abandoned ,Surface
C ,Coal (Bituminous) ,4407196,No 2,P B Dirt Movers Inc  ,VA ,Abandoned ,Surface
C ,Coal (Bituminous) ,1519685,Fedscreek Refuse Pile,P B Dirt Movers Inc.  ,KY ,Abandoned ,Surface
C ,Coal (Bituminous) ,1519799,Fedscreek Surface,"P B Dirt Movers, Inc  ",KY ,Active ,Surface
C , ,4407379,No. 3,"P B Dirt Movers, Inc.  ",VA ,New Mine ,Surface
C ,Coal (Bituminous) ,4407003,No 2,P.B. Dirtmovers  ,VA ,Abandoned* ,Underground
M ,Construction Sand and Gravel ,2602570,COUNTY FAIRE TEMP GRAVEL PIT,PAPA'S DIRT WORKES  ,NV ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2402503,Robison Mine,Paydirt Exc Inc  ,MT ,Abandoned ,Surface
C ,Coal (Bituminous) ,4407296,Mine No. 6,PB Dirt Movers  ,VA ,Temporarily Idled ,Underground
C ,Coal (Bituminous) ,1519273,Blair Face Up,PB Dirt Movers Inc.  ,KY ,Abandoned ,Surface
C ,Coal (Bituminous) ,4407270,Surface Mine No. 1,"PB Dirt Movers, Inc  ",VA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4102682,Peveto Pit,Peveto Dirt Pit  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,0801259,PIT #1,"Phil-Dirt Industries, Inc  ",FL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,0203332,Sandretto Drive,"Prescott Dirt, LLC  ",AZ ,Intermittent ,Surface
M ,"Crushed, Broken Limestone NEC ",0302015,Martins Quarry,R & R Dirtworks  ,AR ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2901986,R D BLANKENSHIP DIRT WORK,R D Blankenship Dirt Work LLC  ,NM ,Active ,Surface
M ,Construction Sand and Gravel ,1601127,Reeves Dirt Pit Incorporated,Reeves Dirt Pit Inc  ,LA ,Abandoned ,Surface
M ,"Sand, Common ",4105017,River Bottom Dirt,River Bottom Dirt  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1600986,Roe'S Dirt Pit,Roe'S Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103324,Pine Ridge Pit,Russell Trest-Dirt Contractor  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4202013,Stahr Portable Crusher,S J Stahr Dirt Movers Inc  ,UT ,Abandoned ,Surface
M ,"Sand, Common ",0801417,Molino Pit,"Sand & Dirt, Inc  ",FL ,Active ,Surface
M ,"Sand, Common ",0801371,CENTURY PIT,"Sand and Dirt, Inc.  ",FL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2402115,Sierra Rock & Dirt Inc,"Sierra Rock & Dirt, Inc.  ",MT ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4300748,Simpson Sand and Gravel,Simpson Dirtworx llc  ,VT ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4300768,Pettibone Jaw Crusher,SIMPSON DIRTWORX LLC  ,VT ,Intermittent ,Surface
M ,Construction Sand and Gravel ,4300776,Chieftan 1400,SIMPSON DIRTWORX LLC  ,VT ,Intermittent ,Surface
M ,Construction Sand and Gravel ,0103209,SLAY PIT,Slay'S Dirt Hauling  ,AL ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601159,Southside Dirt Pit,Southside Dirt Company  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2302283,Mike's Money Pit,"Spry's Dirt & Gravel, Inc.  ",MO ,Intermittent ,Surface
M ,Construction Sand and Gravel ,4102586,Stewart Pit,Stewart Dirt Pit  ,TX ,Abandoned ,Surface
M ,"Crushed, Broken Stone NEC ",4104475,Stewart Dirt Work Inc - Hanna Pit,"Stewart Dirt Work, Inc.  ",TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,3800617,Highway 642 Dirt Pit,Sweat'S Dirt Hauling Inc  ,SC ,Abandoned ,Surface
M ,Construction Sand and Gravel ,1601234,Toler Roe Dirt Pit,Toler Roe Dirt Pit  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4104648,La Calichera Pit,"Tres Palacios Dirt, Sand & Gravel  ",TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,2103518,Crusher,Vogt Dirt Service  ,MN ,Intermittent ,Surface
M ,Construction Sand and Gravel ,1601292,ADDISON LEASE,Watson Dirt Sand & Gravel Pit Inc  ,LA ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103429,Y B Mine,Y B Dirt & Loam  ,TX ,Abandoned ,Surface
M ,Construction Sand and Gravel ,4103264,Yarbrough Dirt Pit #1,Yarbrough Dirt Pit Inc  ,TX ,Abandoned ,Surface
